Date, RH_Min, RH_Value, RH_Status, Temp_Max, Temp_Value, Temp_Status
 2018-10-17 04:14:03.399768, 25, 53.2, Not Running, 105, 65.12, Not Running
 2018-10-17 04:16:03.482810, 25, 53.1, Not Running, 105, 65.12, Not Running
 2018-10-17 04:18:03.478734, 25, 53.2, Not Running, 105, 65.12, Not Running
 2018-10-17 04:20:03.413859, 25, 53.1, Not Running, 105, 65.12, Not Running
 2018-10-17 04:22:03.444244, 25, 53.1, Not Running, 105, 64.94, Not Running
 2018-10-17 04:24:03.450031, 25, 53.1, Not Running, 105, 64.94, Not Running
 2018-10-17 04:26:03.427217, 25, 53.2, Not Running, 105, 64.76, Not Running
 2018-10-17 04:28:03.412231, 25, 53.3, Not Running, 105, 64.76, Not Running
 2018-10-17 04:30:03.399460, 25, 53.5, Not Running, 105, 64.76, Not Running
 2018-10-17 04:32:03.460446, 25, 53.5, Not Running, 105, 64.76, Not Running
 2018-10-17 04:34:03.379747, 25, 53.4, Not Running, 105, 64.76, Not Running
 2018-10-17 04:36:03.440877, 25, 53.4, Not Running, 105, 64.76, Not Running
 2018-10-17 04:38:03.448394, 25, 53.4, Not Running, 105, 64.94, Not Running
 2018-10-17 04:40:03.521732, 25, 53.2, Not Running, 105, 64.76, Not Running
 2018-10-17 04:42:03.669104, 25, 53.2, Not Running, 105, 64.94, Not Running
 2018-10-17 04:44:03.407582, 25, 53.2, Not Running, 105, 64.94, Not Running
 2018-10-17 04:46:03.401680, 25, 53.2, Not Running, 105, 64.94, Not Running
 2018-10-17 04:48:03.410720, 25, 53.1, Not Running, 105, 64.76, Not Running
 2018-10-17 04:50:03.457078, 25, 53.1, Not Running, 105, 64.76, Not Running
 2018-10-17 04:52:03.376732, 25, 53.1, Not Running, 105, 64.76, Not Running
 2018-10-17 04:54:03.367126, 25, 53.1, Not Running, 105, 64.76, Not Running
 2018-10-17 04:56:03.417374, 25, 53.2, Not Running, 105, 64.76, Not Running
 2018-10-17 04:58:03.431169, 25, 53.2, Not Running, 105, 64.76, Not Running
 2018-10-17 05:00:03.460090, 25, 53.1, Not Running, 105, 64.76, Not Running
 2018-10-17 05:02:03.430547, 25, 53.4, Not Running, 105, 64.76, Not Running
 2018-10-17 05:04:03.485414, 25, 53.5, Not Running, 105, 64.76, Not Running
 2018-10-17 05:06:03.477547, 25, 53.7, Not Running, 105, 64.58, Not Running
 2018-10-17 05:08:03.371708, 25, 53.8, Not Running, 105, 64.58, Not Running
 2018-10-17 05:10:03.440924, 25, 54.6, Not Running, 105, 64.4, Not Running
 2018-10-17 05:12:03.449615, 25, 54.2, Not Running, 105, 64.76, Not Running
 2018-10-17 05:14:03.354358, 25, 53.8, Not Running, 105, 64.94, Not Running
 2018-10-17 05:16:03.399953, 25, 53.7, Not Running, 105, 65.12, Not Running
 2018-10-17 05:18:03.503541, 25, 53.5, Not Running, 105, 65.3, Not Running
 2018-10-17 05:20:03.394413, 25, 53.5, Not Running, 105, 65.3, Not Running
 2018-10-17 05:22:03.409529, 25, 53.5, Not Running, 105, 65.3, Not Running
 2018-10-17 05:24:03.454923, 25, 53.4, Not Running, 105, 65.3, Not Running
 2018-10-17 05:26:03.351203, 25, 53.4, Not Running, 105, 65.3, Not Running
 2018-10-17 05:28:03.343421, 25, 53.4, Not Running, 105, 65.3, Not Running
 2018-10-17 05:30:03.445231, 25, 53.3, Not Running, 105, 65.3, Not Running
 2018-10-17 05:32:03.424134, 25, 53.3, Not Running, 105, 65.3, Not Running
 2018-10-17 05:34:03.439880, 25, 53.3, Not Running, 105, 65.3, Not Running
 2018-10-17 05:36:03.477137, 25, 53.3, Not Running, 105, 65.3, Not Running
 2018-10-17 05:38:03.399408, 25, 53.3, Not Running, 105, 65.3, Not Running
 2018-10-17 05:40:03.469879, 25, 53.2, Not Running, 105, 65.12, Not Running
 2018-10-17 05:42:03.380661, 25, 53.4, Not Running, 105, 65.3, Not Running
 2018-10-17 05:44:03.376899, 25, 53.2, Not Running, 105, 65.12, Not Running
 2018-10-17 05:46:03.450390, 25, 53.2, Not Running, 105, 65.12, Not Running
 2018-10-17 05:48:03.422285, 25, 53.2, Not Running, 105, 65.12, Not Running
 2018-10-17 05:50:03.424864, 25, 53.3, Not Running, 105, 65.12, Not Running
 2018-10-17 05:52:03.420208, 25, 53.3, Not Running, 105, 65.12, Not Running
 2018-10-17 05:54:03.426873, 25, 53.2, Not Running, 105, 65.12, Not Running
 2018-10-17 05:56:03.415364, 25, 53.3, Not Running, 105, 65.12, Not Running
 2018-10-17 05:58:03.486196, 25, 53.3, Not Running, 105, 65.12, Not Running
 2018-10-17 06:00:03.429219, 25, 53.2, Not Running, 105, 65.12, Not Running
 2018-10-17 06:02:03.467943, 25, 53.3, Not Running, 105, 65.12, Not Running
 2018-10-17 06:04:03.372456, 25, 53.2, Not Running, 105, 65.12, Not Running
 2018-10-17 06:06:03.356789, 25, 53.3, Not Running, 105, 65.12, Not Running
 2018-10-17 06:08:03.353415, 25, 53.2, Not Running, 105, 64.94, Not Running
 2018-10-17 06:10:03.435196, 25, 53.2, Not Running, 105, 64.94, Not Running
 2018-10-17 06:12:03.447486, 25, 53.3, Not Running, 105, 65.12, Not Running
 2018-10-17 06:14:03.478746, 25, 53.3, Not Running, 105, 64.94, Not Running
 2018-10-17 06:16:03.375165, 25, 53.3, Not Running, 105, 64.94, Not Running
 2018-10-17 06:18:03.524988, 25, 53.2, Not Running, 105, 64.94, Not Running
 2018-10-17 06:20:03.392983, 25, 53.2, Not Running, 105, 64.94, Not Running
 2018-10-17 06:22:03.444682, 25, 53.3, Not Running, 105, 64.94, Not Running
 2018-10-17 06:24:03.414173, 25, 53.3, Not Running, 105, 64.94, Not Running
 2018-10-17 06:26:04.041711, 25, 53.2, Not Running, 105, 64.76, Not Running
 2018-10-17 06:28:03.487539, 25, 53.2, Not Running, 105, 64.76, Not Running
 2018-10-17 06:30:03.406460, 25, 53.2, Not Running, 105, 64.76, Not Running
 2018-10-17 06:32:03.457347, 25, 53.2, Not Running, 105, 64.94, Not Running
 2018-10-17 06:34:03.399019, 25, 53.2, Not Running, 105, 64.94, Not Running
 2018-10-17 06:36:03.471836, 25, 53.2, Not Running, 105, 64.76, Not Running
 2018-10-17 06:38:03.359978, 25, 53.3, Not Running, 105, 64.94, Not Running
 2018-10-17 06:40:03.502984, 25, 53.3, Not Running, 105, 64.94, Not Running
 2018-10-17 06:42:03.391817, 25, 53.3, Not Running, 105, 64.76, Not Running
 2018-10-17 06:44:03.468580, 25, 53.2, Not Running, 105, 64.76, Not Running
 2018-10-17 06:46:03.373442, 25, 53.3, Not Running, 105, 64.76, Not Running
 2018-10-17 06:48:03.380104, 25, 53.2, Not Running, 105, 64.76, Not Running
 2018-10-17 06:50:03.387512, 25, 53.3, Not Running, 105, 64.76, Not Running
 2018-10-17 06:52:03.428368, 25, 53.3, Not Running, 105, 64.76, Not Running
 2018-10-17 06:54:03.410173, 25, 53.3, Not Running, 105, 64.76, Not Running
 2018-10-17 06:56:03.484599, 25, 53.3, Not Running, 105, 64.76, Not Running
 2018-10-17 06:58:03.381530, 25, 53.3, Not Running, 105, 64.76, Not Running
 2018-10-17 07:00:03.385181, 25, 53.3, Not Running, 105, 64.76, Not Running
 2018-10-17 07:02:03.390612, 25, 53.4, Not Running, 105, 64.76, Not Running
 2018-10-17 07:04:03.447964, 25, 53.3, Not Running, 105, 64.76, Not Running
